label,Near earth,Magnitude,Eccentricity,Semi-major axis (AU),Perihelion distance (AU),Rotation period (s)
(AA),N,13.2,0.0897,2.9971,2.7282,
(AA1),N,13.2,0.0942,2.7602,2.5001,1801987.2
(AA10),N,13.6,0.1572,3.217,2.7112,
(AA104),N,13.5,0.1243,2.9777,2.6075,
(AA113),N,11.9,0.0249,5.2647,5.1334,
(AA117),N,13.6,0.2759,2.7585,1.9975,254030.4
(AA123),N,12.9,0.0874,5.2852,4.8233,
(AA127),N,13,0.1104,2.9322,2.6084,
(AA128),N,13.2,0.0678,2.8421,2.6494,
(AA141),N,13.5,0.1009,2.9926,2.6906,
(AA144),N,13.3,0.0892,3.0198,2.7504,26934.912
(AA147),N,13.6,0.1511,2.5415,2.1576,
(AA149),N,13.8,0.0686,2.9627,2.7595,
(AA160),N,11.2,0.082,5.2556,4.8244,
(AA166),N,13.1,0.0339,3.1596,3.0525,
(AA167),N,13.7,0.1556,3.0477,2.5734,
(AA2),N,13.5,0.141,2.6841,2.3056,
(AA200),N,13.1,0.2363,2.8796,2.1993,
(AA202),N,11.9,0.0363,3.2352,3.1178,
(AA203),N,13.4,0.0257,3.103,3.0233,
(AA205),N,13.3,0.0869,3.032,2.7687,
(AA21),N,13.3,0.2069,2.4374,1.9332,
(AA24),N,12.7,0.1642,3.1529,2.6351,
(AA37),N,13.9,0.1795,3.191,2.6183,
(AA45),N,13.1,0.1602,3.0546,2.5652,
(AA5),N,13.7,0.2831,2.7946,2.0034,
(AA54),N,11.9,0.031,5.2821,5.1183,
(AA64),N,12.4,0.0757,4.0051,3.7018,61344
(AA66),N,12.8,0.0836,5.2303,4.7928,
(AA80),N,11.4,0.0263,5.2588,5.1203,1350000
(AA90),N,13.1,0.0782,3.5031,3.2292,
(AA96),N,13.5,0.0923,2.919,2.6496,345600
(AB),N,13.4,0.135,3.1933,2.7623,
(AB),N,13.8,0.0624,3.1862,2.9874,
(AB),N,12.8,0.113,3.1824,2.8228,
(AB),N,12.7,0.1994,2.7386,2.1926,
(AB),N,13.1,0.1979,2.6667,2.1391,
(AB),N,13.5,0.2009,2.5857,2.0663,
(AB100),N,13.7,0.2129,2.6613,2.0947,
(AB101),N,13.5,0.0473,3.135,2.9868,49849.2
(AB104),N,13.9,0.0283,3.2235,3.1325,
(AB107),N,13,0.0444,3.1867,3.0452,
(AB113),N,12.5,0.0968,2.9982,2.7081,
(AB121),N,13,0.0971,2.9959,2.7049,
(AB127),N,13.7,0.0552,2.9895,2.8245,
(AB141),N,13.1,0.1607,2.6858,2.2541,18720.216
(AB149),N,12.9,0.0615,3.228,3.0297,
(AB168),N,13.2,0.0471,3.1621,3.0132,
(AB175),N,12.1,0.1682,3.0415,2.5299,25099.2
(AB193),N,13.1,0.0527,3.2147,3.0454,
(AB194),N,13,0.0481,2.9996,2.8553,13395.6
(AB195),N,13.8,0.0476,3.0533,2.9081,17640
(AB199),N,13.7,0.0622,3.2243,3.0236,
(AB2),N,13,0.0254,2.932,2.8575,13860
(AB203),N,13.7,0.1468,2.5854,2.2058,
(AB21),N,13.6,0.1963,3.0934,2.4862,
(AB248),N,13.9,0.117,2.5599,2.2604,
(AB3),N,12.9,0.1051,3.0131,2.6964,
(AB33),N,12,0.0773,5.2165,4.8135,
(AB47),N,13.7,0.0728,2.9794,2.7624,
(AB54),N,13.2,0.0846,3.0479,2.79,
(AB56),N,13.9,0.1424,3.1704,2.7188,
(AB8),N,13.6,0.1899,3.0882,2.5019,
(AB88),N,13,0.0274,5.2028,5.0605,
(AB98),N,12.5,0.1144,2.6624,2.3578,
(AC),N,13,0.0161,2.8887,2.8423,
(AC1),N,13.7,0.2722,2.6132,1.9019,
(AC10),N,12.8,0.0898,2.9815,2.7139,
(AC115),N,11.7,0.0623,5.3241,4.9923,950400
(AC121),N,13,0.0438,5.2689,5.038,
(AC137),N,13.2,0.1376,3.1703,2.734,
(AC143),N,13.4,0.1648,3.1146,2.6012,
(AC165),N,12.7,0.14,3.1553,2.7137,4068
(AC17),N,13.9,0.221,2.5595,1.9938,
(AC176),N,13.3,0.1344,2.721,2.3554,
(AC186),N,13.6,0.1042,3.2161,2.8811,
(AC197),N,13.7,0.0743,3.2091,2.9706,
(AC205),N,13.4,0.2733,2.3307,1.6937,
(AC23),N,13.8,0.1481,3.1059,2.646,
(AC244),N,13.4,0.1016,3.1183,2.8016,
(AC25),N,13.9,0.1416,3.1015,2.6623,
(AC3),N,13.7,0.0819,2.793,2.5644,
(AC37),N,13.7,0.0671,3.0624,2.857,
(AC4),N,13.7,0.1728,3.1578,2.612,
(AC45),N,13,0.0912,5.2611,4.7814,
(AC66),N,13.2,0.078,3.0188,2.7835,
(AC68),N,13.7,0.2416,2.4605,1.8661,
(AC7),N,13.7,0.0773,2.7061,2.497,11444.4
(AC77),N,12.6,0.086,5.2704,4.817,
(AC78),N,13.5,0.055,3.0665,2.8979,
(AC8),N,13,0.1654,3.1815,2.6553,
(AC9),N,12.1,0.0286,5.1195,4.9731,
(AC92),N,13.7,0.0771,2.9927,2.7619,
(AC97),N,13.5,0.1861,2.653,2.1592,
(AD),N,12.7,0.1727,2.7004,2.234,
(AD102),N,13.9,0.0311,2.9641,2.8719,18651.6
(AD118),N,13,0.0516,3.163,2.9997,
(AD127),N,12.8,0.0957,3.0682,2.7744,
(AD13),N,13.4,0.2476,2.5951,1.9525,
(AD142),N,13,0.102,2.7851,2.5011,
(AD144),N,13.9,0.1088,3.1266,2.7865,
(AD148),N,13.7,0.1157,2.9302,2.5912,
(AD166),N,13.3,0.1405,3.1739,2.728,
(AD17),N,13.1,0.1464,2.5993,2.2187,
(AD177),N,11.6,0.0551,5.26,4.9703,
(AD179),N,13.5,0.1298,3.2332,2.8136,
(AD181),N,13.8,0.2498,2.6816,2.0117,
(AD188),N,12.9,0.2023,3.126,2.4934,
(AD199),N,13.9,0.1515,2.4513,2.0798,43200
(AD21),N,12.1,0.0391,5.293,5.0862,
(AD23),N,13.5,0.0527,3.0451,2.8846,
(AD231),N,13,0.1922,3.1484,2.5432,151999.2
(AD237),N,13.6,0.1584,2.6561,2.2355,
(AD30),N,13.6,0.0807,5.2231,4.8017,
